,baseline_mrr,baseline_ndcg,expl_mrr,expl_ndcg,delta_mrr,delta_ndcg
q20310,0.25,0.43067655807339306,0.1,0.2890648263178879,-0.15,-0.14161173175550518
q20311,0.1111111111111111,0.3010299956639812,0.02127659574468085,0.17905223175104137,-0.08983451536643025,-0.12197776391293982
q20312,0.022727272727272728,0.18208790046993825,0.0,0.0,-0.022727272727272728,-0.18208790046993825
q20313,0.017857142857142856,0.17144160057391347,0.017857142857142856,0.17144160057391347,0.0,0.0
q20314,0.015873015873015872,0.16666666666666666,0.0,0.0,-0.015873015873015872,-0.16666666666666666
q20315,0.008064516129032258,0.14355885269113103,0.0,0.0,-0.008064516129032258,-0.14355885269113103
q20316,0.2,0.38685280723454163,0.0,0.0,-0.2,-0.38685280723454163
q20317,0.005494505494505495,0.13305480813724413,0.0,0.0,-0.005494505494505495,-0.13305480813724413
q20318,0.5,0.6309297535714575,0.058823529411764705,0.23981246656813146,-0.4411764705882353,-0.39111728700332604
q20319,0.016666666666666666,0.1686130986895011,0.0,0.0,-0.016666666666666666,-0.1686130986895011
q20320,0.125,0.31546487678572877,0.038461538461538464,0.2103099178571525,-0.08653846153846154,-0.10515495892857626
q20321,0.043478260869565216,0.21810429198553155,0.0,0.0,-0.043478260869565216,-0.21810429198553155
q20322,1.0,1.0,0.0,0.0,-1.0,-1.0
q20323,0.010752688172043012,0.15256487060115928,0.0,0.0,-0.010752688172043012,-0.15256487060115928
q20324,0.014925373134328358,0.16427204996205025,0.0,0.0,-0.014925373134328358,-0.16427204996205025
q20325,1.0,1.0,0.3333333333333333,0.5,-0.6666666666666667,-0.5
q20326,1.0,1.0,0.018518518518518517,0.1729696904450771,-0.9814814814814815,-0.827030309554923
q20327,0.2,0.38685280723454163,0.022727272727272728,0.18208790046993825,-0.17727272727272728,-0.20476490676460338
q20328,0.0016129032258064516,0.10777662846608753,0.0,0.0,-0.0016129032258064516,-0.10777662846608753
q20329,0.024390243902439025,0.1854490234153689,0.0,0.0,-0.024390243902439025,-0.1854490234153689
q20330,0.3333333333333333,0.5,0.047619047619047616,0.22424382421757544,-0.2857142857142857,-0.27575617578242456
q20331,0.3333333333333333,0.5,0.14285714285714285,0.3333333333333333,-0.19047619047619047,-0.16666666666666669
q20332,1.0,1.0,0.0,0.0,-1.0,-1.0
q20333,0.5,0.6309297535714575,0.01818181818181818,0.17219543379409813,-0.4818181818181818,-0.4587343197773594
q20334,0.1,0.2890648263178879,0.05555555555555555,0.23540891336663824,-0.04444444444444445,-0.053655912951249635
q20335,0.006666666666666667,0.1381519873525671,0.0,0.0,-0.006666666666666667,-0.1381519873525671
q20336,0.1,0.2890648263178879,0.020833333333333332,0.1781035935540111,-0.07916666666666668,-0.11096123276387679
q20337,0.012048192771084338,0.15643778834207153,0.0,0.0,-0.012048192771084338,-0.15643778834207153
q20338,1.0,1.0,0.045454545454545456,0.22106472945750374,-0.9545454545454546,-0.7789352705424962
q20339,0.25,0.43067655807339306,0.01639344262295082,0.16794877895704194,-0.2336065573770492,-0.26272777911635115
q20340,0.012658227848101266,0.15817959093978226,0.0,0.0,-0.012658227848101266,-0.15817959093978226
q20341,0.2,0.38685280723454163,0.034482758620689655,0.2037950470905062,-0.16551724137931034,-0.18305776014403544
q20342,0.05555555555555555,0.23540891336663824,0.0,0.0,-0.05555555555555555,-0.23540891336663824
q20343,0.03333333333333333,0.20184908658209985,0.0,0.0,-0.03333333333333333,-0.20184908658209985
q20344,0.2,0.38685280723454163,0.03333333333333333,0.20184908658209985,-0.16666666666666669,-0.18500372065244178
q20345,0.3333333333333333,0.5,0.1,0.2890648263178879,-0.2333333333333333,-0.21093517368211212
q20346,1.0,1.0,1.0,1.0,0.0,0.0
q20347,0.14285714285714285,0.3333333333333333,0.045454545454545456,0.22106472945750374,-0.0974025974025974,-0.11226860387582957
q20348,0.16666666666666666,0.3562071871080222,0.0,0.0,-0.16666666666666666,-0.3562071871080222
q20349,0.0026954177897574125,0.11710755381421946,0.0,0.0,-0.0026954177897574125,-0.11710755381421946
q20350,0.008547008547008548,0.14529302083924284,0.0,0.0,-0.008547008547008548,-0.14529302083924284
q20351,0.3333333333333333,0.5,0.0,0.0,-0.3333333333333333,-0.5
q20352,1.0,1.0,0.2,0.38685280723454163,-0.8,-0.6131471927654584
q20353,0.16666666666666666,0.3562071871080222,0.011627906976744186,0.15520856277015513,-0.15503875968992248,-0.20099862433786705
q20354,0.1,0.2890648263178879,0.03333333333333333,0.20184908658209985,-0.06666666666666668,-0.08721573973578803
q20355,0.1111111111111111,0.3010299956639812,0.1,0.2890648263178879,-0.0111111111111111,-0.011965169346093318
q20356,0.16666666666666666,0.3562071871080222,0.017241379310344827,0.16999161628691403,-0.14942528735632182,-0.18621557082110815
q20357,0.045454545454545456,0.22106472945750374,0.0,0.0,-0.045454545454545456,-0.22106472945750374
q20358,0.2,0.38685280723454163,0.5,0.6309297535714575,0.3,0.2440769463369159
q20359,0.018867924528301886,0.17376534287144002,0.0,0.0,-0.018867924528301886,-0.17376534287144002
q20360,0.5,0.6309297535714575,0.0,0.0,-0.5,-0.6309297535714575
q20361,0.16666666666666666,0.3562071871080222,0.014285714285714285,0.16260831227163416,-0.15238095238095237,-0.19359887483638802
q20362,1.0,1.0,0.029411764705882353,0.1949590218937863,-0.9705882352941176,-0.8050409781062137
q20363,1.0,1.0,0.038461538461538464,0.2103099178571525,-0.9615384615384616,-0.7896900821428475
q20364,0.0019880715705765406,0.11139231577064784,0.0,0.0,-0.0019880715705765406,-0.11139231577064784
q20365,0.16666666666666666,0.3562071871080222,0.01020408163265306,0.15084420062289414,-0.15646258503401358,-0.20536298648512805
q20366,0.03125,0.19823986317056053,0.01818181818181818,0.17219543379409813,-0.013068181818181819,-0.026044429376462397
q20367,0.019230769230769232,0.17458343004804494,0.03571428571428571,0.20584683246043448,0.01648351648351648,0.031263402412389535
q20368,0.0014992503748125937,0.10656772302618521,0.0,0.0,-0.0014992503748125937,-0.10656772302618521
q20369,0.2,0.38685280723454163,0.010101010101010102,0.1505149978319906,-0.1898989898989899,-0.23633780940255103
q20370,0.024390243902439025,0.1854490234153689,0.0,0.0,-0.024390243902439025,-0.1854490234153689
q20371,0.011111111111111112,0.15366188628986424,0.0,0.0,-0.011111111111111112,-0.15366188628986424
q20372,0.06666666666666667,0.25,0.0,0.0,-0.06666666666666667,-0.25
q20373,0.02,0.17629143438888212,0.019230769230769232,0.17458343004804494,-0.0007692307692307686,-0.001708004340837177
q20374,0.0,0.0,0.012048192771084338,0.15643778834207153,0.012048192771084338,0.15643778834207153
q20375,0.022222222222222223,0.1810425967800402,0.0,0.0,-0.022222222222222223,-0.1810425967800402
